Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
64-Jaehrige,349577,371219,411321,409418,416508,390674,378861,376027,460692,488995,501045,511822,543170,576707,583184,548943,450735,458450,445219,330247,372612,415921,440203,475445,485673,481708,486830,484109,498794,509304,525303,538134
65-Jaehrige,330252,341822,363207,402261,400120,407104,381908,370393,367869,451604,479753,492009,503003,533882,566588,573091,539849,442995,450607,437521,324635,360573,409528,433448,468215,478436,473859,479386,476419,490640,501022,515917
66-Jaehrige,285904,322223,333836,354428,392543,390476,397213,372676,361711,359769,442018,470371,482624,493438,523826,556224,562637,530309,434892,442578,429930,311783,354444,402581,426282,460601,470070,465700,471077,468105,481970,491362
67-Jaehrige,275302,278214,314134,325285,345266,382328,380409,387063,363376,353182,351295,432441,460337,472682,483491,513752,545612,551914,520269,426616,434219,415717,306329,348044,395698,418628,452030,461795,457083,462222,459340,472107
68-Jaehrige,287300,267238,270359,305336,316345,335624,371343,369617,376510,353799,344114,342792,422062,449486,462139,473211,503219,534801,540863,509671,418326,419615,407759,300284,341543,388193,410508,443368,452873,448219,453055,449515
69-Jaehrige,290081,277891,258965,261966,296126,306746,325527,360008,358575,365800,344046,334961,333838,411268,438696,451345,462429,492253,522969,529015,498967,402603,411093,399393,294231,334464,380141,401902,434182,443341,438401,442755
70-Jaehrige,275282,279749,268307,250296,253106,286478,296972,314941,348455,347287,354733,333979,325434,324620,399991,427346,440089,451438,480629,510422,516701,480974,393870,402015,390745,287518,326626,371672,392831,424241,433126,427480
71-Jaehrige,203275,264230,269090,258127,241163,243891,276205,286687,304007,336803,335785,343333,323562,315408,315043,388536,415707,428516,439812,468385,497807,496958,469677,384523,392647,381396,280396,318537,362555,383230,413894,421565
72-Jaehrige,128327,194895,253126,257611,247634,231393,234239,265506,275937,293156,324575,323833,331539,312484,305263,305478,377242,403673,416391,427391,455661,479613,484252,457559,375001,382470,371321,272933,309855,353046,373068,402268
73-Jaehrige,120451,122204,185772,241390,246160,236690,221196,224468,254641,265159,281950,312418,311452,319018,301296,294958,295267,365129,390828,403518,414821,437250,465943,470617,444900,364626,371729,360766,265056,301078,342891,361662
74-Jaehrige,126282,114291,115973,176237,229514,233932,225186,210939,214452,243560,254065,270559,299464,298642,306591,290519,284041,284627,352146,377500,390102,396644,423782,451644,456567,431361,353642,360584,349589,256685,291535,331581
75-Jaehrige,157581,118932,107838,109375,166545,216996,221473,213777,200387,204196,232272,242840,258625,285903,285590,293720,278622,272699,273460,338674,363628,370645,383067,409514,436973,441132,417244,342076,348468,337865,247817,280823
