Altersgruppe,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
67-Jaehrige,8663,8166,8558,9099,9478,10558,10731,10475,9728,8984,8568,8815,10382,10088,9640,9737,10043,10322,9385,8638,7741,7648,6361,5653,6716,7317,7967,8197,8382,8328,8466,9089
68-Jaehrige,9867,8930,8428,9205,9356,9810,10847,11086,10745,10288,9334,8698,9236,11029,10205,10137,10193,10448,10733,10216,9072,7994,8191,7121,5578,7430,7479,8441,8760,8788,9213,9430
69-Jaehrige,10647,10107,9253,8856,9393,10079,10100,10967,11332,11122,10195,9548,9018,9728,10776,10665,10380,10469,11069,11477,10651,9493,8418,8589,7005,6332,7898,8126,8848,9164,9638,10169
70-Jaehrige,11004,10903,10370,9693,9393,9794,10104,10402,11141,11690,11513,10742,9892,9447,10077,11297,10909,10909,10960,11720,12110,10971,9891,8913,8924,8068,6631,8199,8592,9313,9859,10687
71-Jaehrige,6935,11101,11146,11187,9987,9763,10265,10599,10833,11439,12113,11773,11201,10390,9375,10371,11754,11398,11296,11596,12273,12429,11568,10724,9242,9788,8292,7016,8913,9005,10163,11062
72-Jaehrige,6054,7045,11404,11828,11195,10574,9924,10363,10817,10934,11777,12083,12045,11909,10388,9908,10573,12183,11871,12026,12034,12584,13188,12448,10877,10054,10119,8695,7463,9102,9693,11083
73-Jaehrige,6824,6160,7122,11908,11777,11844,10849,9950,10434,11017,11121,11900,12753,12614,11694,10689,10150,10890,12696,12421,12656,12343,13347,13995,12826,12060,10438,10888,9220,7660,9972,10699
74-Jaehrige,8103,6863,6269,7495,12009,12364,12086,10775,10224,10847,11242,11431,12528,13290,12631,11956,11246,10626,11666,13268,13252,12906,13064,14098,14198,13967,12365,10950,11567,9690,8277,10986
75-Jaehrige,11973,8344,7116,6576,7376,12424,12737,12190,11147,10404,10792,11305,11847,13096,13322,13028,12225,11709,11023,11903,13660,13623,13704,14015,14450,15792,14471,13217,11779,11843,10561,9048
76-Jaehrige,13824,12396,8427,7211,6454,7546,12502,12433,12180,11027,10316,10905,11714,12397,12915,13587,13310,12675,11994,11387,12379,14129,14045,14611,14482,15933,16112,15350,14097,12189,13008,11285
77-Jaehrige,14941,13773,12088,8420,7010,6768,7512,12544,12704,12292,11283,10770,11346,12302,12176,13550,13605,13501,13340,12627,11840,12892,14951,14988,14524,15627,16447,17171,16043,14542,13333,14210
78-Jaehrige,15012,14855,13550,12374,8317,7259,6553,7373,12426,12610,12341,11250,10904,11871,12127,12614,13553,14269,14243,13834,13052,12248,13124,15721,15084,15982,16416,17280,18119,16729,15728,14467
79-Jaehrige,14833,14717,14212,13755,12233,8451,7231,6515,7460,12452,12641,12158,11399,11167,11552,12443,12529,13673,14599,14403,14284,13239,12668,13937,15788,16441,16516,17078,18475,18721,18043,16955
80-Jaehrige,15290,14283,14080,14394,13493,12173,8460,7121,6374,7484,12094,12455,12461,11920,10775,11717,12326,13235,14389,15085,14810,13948,13632,13204,13810,17274,16755,17450,18152,18674,20769,19677
81-Jaehrige,15040,14452,13655,14061,13773,13471,12152,8155,6990,6478,7330,12210,12571,12553,11359,11039,11705,12893,13542,14700,15346,14848,14885,14122,13201,15198,17464,17771,18418,18479,20560,21971
82-Jaehrige,14370,14418,13570,13109,13467,13388,13077,11485,7892,6763,6306,6945,12100,12796,12079,11588,11104,11815,13008,13834,14565,15118,15479,15436,13962,14340,15348,18153,18612,18379,19853,21804
83-Jaehrige,13918,13653,12948,13152,12555,12808,12998,12251,11122,7840,6679,5850,7069,12144,12175,12247,11327,10996,11949,12958,13522,14476,15583,16046,14966,14925,14209,15683,18563,18531,19946,21334
84-Jaehrige,12720,12702,12176,12601,12123,12021,12235,11943,11711,10704,7333,6164,5916,6878,11175,12077,11981,10987,10909,12129,13026,13308,14738,15894,15309,15767,14610,14564,16280,18705,19792,20929
85-Jaehrige,11863,11712,11311,11715,11505,11248,11405,11356,11435,11001,9899,6825,6161,5586,6321,11113,11354,11349,11266,11065,11707,12477,13381,14933,15142,16156,15252,15114,14651,15878,20031,20506
86-Jaehrige,10390,10533,10014,10611,10665,10462,10489,10122,10444,10565,10286,9356,6543,5907,5252,6117,10317,11247,11397,10733,10521,11449,12652,13375,14052,15763,15269,15311,14923,14391,16717,20065
87-Jaehrige,8991,9110,8983,9333,9228,9426,9627,9183,9403,9517,9714,9461,8807,6276,5241,4920,5534,10025,10418,11047,10346,9891,11125,12361,12410,14172,14874,15056,14949,13970,14894,16799
88-Jaehrige,7590,7789,7617,8042,7952,8346,8279,8345,8371,8191,8549,8646,8852,8295,5407,4851,4579,5369,9266,9969,10163,9460,9515,10731,11087,12582,13398,14426,14726,14322,14448,14425
89-Jaehrige,6031,6359,6223,6693,6933,7049,7286,7260,7411,7471,7370,7489,7835,8009,6861,5122,4385,4065,5023,8633,9099,9293,8915,9089,9471,10876,11448,12767,13728,13436,14341,13870
90 Jahre und mehr,17664,18285,18971,20782,21262,22806,23489,24158,25221,26199,26762,27174,28747,30453,29602,30555,28706,27237,25931,25273,27449,29924,33406,36259,36814,41318,42767,47418,51200,53262,60075,63360
